run,regime,seed,scorer,lambda,Q,C,frac_strong,fallback_frac
first_run,L1,102005,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102005,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102005,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102005,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102005,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102005,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102005,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102005,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
first_run,L1,102005,oracle_fullinfo,500,0.5107,0.00035093,0.28991,0.0
first_run,L1,102005,threshold_p_0.05,,0.642493,0.0015569,0.78906,0.0
first_run,L1,102005,threshold_p_0.10,,0.642323,0.00155082,0.78753,0.0
first_run,L1,102005,threshold_p_0.15,,0.642493,0.00152162,0.78261,0.0
first_run,L1,102005,threshold_p_0.20,,0.641984,0.00150376,0.77819,0.0
first_run,L1,102005,threshold_p_0.25,,0.641474,0.00149077,0.77463,0.0
first_run,L1,102005,threshold_p_0.30,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102005,threshold_p_0.35,,0.63587,0.00136994,0.75068,0.0
first_run,L1,102005,threshold_p_0.40,,0.630265,0.00130872,0.72894,0.0
first_run,L1,102005,threshold_p_0.50,,0.597486,0.00111969,0.63995,0.0
first_run,L1,102005,threshold_p_0.60,,0.491338,0.00075089,0.42171,0.0
first_run,L1,102005,threshold_p_0.70,,0.291101,0.00019862,0.0912,0.0
first_run,L1,102006,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102006,drl_pi,0,0.642154,0.00157842,0.79467,0.0
first_run,L1,102006,drl_pi,10,0.640115,0.00148571,0.78312,0.0
first_run,L1,102006,drl_pi,25,0.638077,0.00140067,0.77055,0.0
first_run,L1,102006,drl_pi,50,0.636719,0.00134849,0.76495,0.0
first_run,L1,102006,drl_pi,100,0.630944,0.0012584,0.75119,0.0
first_run,L1,102006,drl_pi,150,0.605639,0.00115723,0.70839,0.0
first_run,L1,102006,drl_pi,200,0.57286,0.00099255,0.64997,0.0
first_run,L1,102006,drl_pi,300,0.457371,0.00052195,0.45228,0.0
first_run,L1,102006,drl_pi,500,0.387228,0.00033371,0.31997,0.0
first_run,L1,102006,t_learner,0,0.642493,0.00157359,0.79365,0.0
first_run,L1,102006,t_learner,10,0.642493,0.00153875,0.7877,0.0
first_run,L1,102006,t_learner,25,0.640285,0.00142295,0.77836,0.0
first_run,L1,102006,t_learner,50,0.6357,0.00129515,0.76223,0.0
first_run,L1,102006,t_learner,100,0.629755,0.00121815,0.74626,0.0
first_run,L1,102006,t_learner,150,0.621433,0.00114324,0.72385,0.0
first_run,L1,102006,t_learner,200,0.600883,0.00101774,0.67782,0.0
first_run,L1,102006,t_learner,300,0.48947,0.00054935,0.48675,0.0
first_run,L1,102006,t_learner,500,0.408798,0.00034092,0.33305,0.0
first_run,L1,102006,direct_baseline,0,0.640965,0.00329386,0.99219,0.0
first_run,L1,102006,direct_baseline,10,0.639606,0.00323199,0.9893,0.0
first_run,L1,102006,direct_baseline,25,0.629755,0.00284897,0.95312,0.0
first_run,L1,102006,direct_baseline,50,0.619735,0.00127257,0.74762,0.0
first_run,L1,102006,direct_baseline,100,0.465014,0.00050274,0.44429,0.0
first_run,L1,102006,direct_baseline,150,0.379925,0.00031046,0.27514,0.0
first_run,L1,102006,direct_baseline,200,0.293818,0.00015916,0.11855,0.0
first_run,L1,102006,direct_baseline,300,0.227242,5.309e-05,0.00968,0.0
first_run,L1,102006,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
first_run,L1,102006,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102006,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102006,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102006,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102006,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102006,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102006,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102006,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
first_run,L1,102006,oracle_fullinfo,500,0.5107,0.00035093,0.28991,0.0
first_run,L1,102006,threshold_p_0.05,,0.642493,0.0015569,0.78906,0.0
first_run,L1,102006,threshold_p_0.10,,0.642323,0.00155082,0.78753,0.0
first_run,L1,102006,threshold_p_0.15,,0.642493,0.00152162,0.78261,0.0
first_run,L1,102006,threshold_p_0.20,,0.641984,0.00150376,0.77819,0.0
first_run,L1,102006,threshold_p_0.25,,0.641474,0.00149077,0.77463,0.0
first_run,L1,102006,threshold_p_0.30,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102006,threshold_p_0.35,,0.63587,0.00136994,0.75068,0.0
first_run,L1,102006,threshold_p_0.40,,0.630265,0.00130872,0.72894,0.0
first_run,L1,102006,threshold_p_0.50,,0.597486,0.00111969,0.63995,0.0
first_run,L1,102006,threshold_p_0.60,,0.491338,0.00075089,0.42171,0.0
first_run,L1,102006,threshold_p_0.70,,0.291101,0.00019862,0.0912,0.0
first_run,L1,102007,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102007,drl_pi,0,0.641984,0.00155312,0.78668,0.0
first_run,L1,102007,drl_pi,10,0.641474,0.00149818,0.77955,0.0
first_run,L1,102007,drl_pi,25,0.639096,0.00141267,0.77106,0.0
first_run,L1,102007,drl_pi,50,0.636719,0.00135597,0.76596,0.0
first_run,L1,102007,drl_pi,100,0.629076,0.00125595,0.74728,0.0
first_run,L1,102007,drl_pi,150,0.605129,0.00116205,0.7089,0.0
first_run,L1,102007,drl_pi,200,0.564368,0.00097031,0.63638,0.0
first_run,L1,102007,drl_pi,300,0.455842,0.00051558,0.44735,0.0
first_run,L1,102007,drl_pi,500,0.386719,0.00033012,0.31895,0.0
first_run,L1,102007,t_learner,0,0.642493,0.00157442,0.79382,0.0
first_run,L1,102007,t_learner,10,0.642493,0.00153875,0.7877,0.0
first_run,L1,102007,t_learner,25,0.640285,0.00142141,0.77819,0.0
first_run,L1,102007,t_learner,50,0.6357,0.00129515,0.76223,0.0
first_run,L1,102007,t_learner,100,0.629586,0.00121671,0.74592,0.0
